l***e,2017-03-16 17:53:56,物美价廉，非常不错
皇***冻,2017-03-16 13:18:08,感觉还行吧，第一次卖，也不是太懂，不过同学说还可以。
暗***杀,2017-03-16 10:00:28,神舟现在的做工比原来好很多呢，win10真不好用，但是7代cpu不支持win7了。。。
农***5,2017-03-16 09:18:23,昨天到的货，用了一天了才来评论说实话蛮卡的换内存和固态硬盘。win10用的也不习惯.最重要的是，居然把我的货压了一天半才发出来。不过顺丰还是蛮快的.
g***5,2017-03-15 11:55:13,今天刚到，还没用
七***a,2017-03-14 16:39:52,挺好的！送的鼠标特别炫酷。
1***力,2017-03-14 14:07:09,不满意的一次网购，售后真的很气人
迈***4,2017-03-14 07:46:40,打開軟件太慢！運行多個網頁有點卡！可能我網也有點慢吧！但軟件開啟慢是硬傷
a***陈,2017-03-14 03:41:11,第一次在网上买笔记本这样稍贵的数码产品，总体来说还是挺满意的。主要是3800能达到这配置，性价比较高。物流用的是顺丰，速度可以，包装完整。用了几天后，机子运行流畅，驱动也完整，不用烦心。不过打大型游戏还是建议加个内存条和固态硬盘。
我***智,2017-03-13 14:31:51,跑机才得9W分，不过在同价笔记本里配置算好的吧，反正神舟和船儿子都有一个特点，离开充电器活不过两个小时。
s***n,2017-03-13 11:28:45,还行，我需要14寸或更小尺寸的。
不***散,2017-03-13 09:48:49,虽然听说神舟的客服不是很好，但我选择它的原因还是那其他品牌不可相比的性价。电脑预装的win10缺点太多，建议重装win10或win7。
宁***4,2017-03-12 16:05:52,此用户没有填写评论!
天***7,2017-03-12 13:08:19,此用户没有填写评论!
5***l,2017-03-11 19:21:03,很好，很喜欢，性价比高，刚开始有点小卡。
鲁***志,2017-03-10 22:51:53,跑分11w  不到12w
一***人,2017-03-10 18:27:16,十分满意的一次购物
d***3,2017-03-10 12:54:07,各方面都挺满意的
方***6,2017-03-09 21:44:59,机子还是不错的，不过我是后悔了，早知道加几百块买670了，不过买了就用着先 了
百***丶,2017-03-09 17:41:39,发货的速度很快，快递第二天就到了。全新包装未开封。客服的态度很好，买之前咨询了很多问题都一一解答了。一开机开机就用了50%的内存，感觉加个内存条会好些。开机17秒还是很快的，过几天试下游戏性如何?
l***e,2017-03-16 17:53:56,物美价廉，非常不错
皇***冻,2017-03-16 13:18:08,感觉还行吧，第一次卖，也不是太懂，不过同学说还可以。
暗***杀,2017-03-16 10:00:28,神舟现在的做工比原来好很多呢，win10真不好用，但是7代cpu不支持win7了。。。
农***5,2017-03-16 09:18:23,昨天到的货，用了一天了才来评论说实话蛮卡的换内存和固态硬盘。win10用的也不习惯.最重要的是，居然把我的货压了一天半才发出来。不过顺丰还是蛮快的.
g***5,2017-03-15 11:55:13,今天刚到，还没用
七***a,2017-03-14 16:39:52,挺好的！送的鼠标特别炫酷。
1***力,2017-03-14 14:07:09,不满意的一次网购，售后真的很气人
迈***4,2017-03-14 07:46:40,打開軟件太慢！運行多個網頁有點卡！可能我網也有點慢吧！但軟件開啟慢是硬傷
a***陈,2017-03-14 03:41:11,第一次在网上买笔记本这样稍贵的数码产品，总体来说还是挺满意的。主要是3800能达到这配置，性价比较高。物流用的是顺丰，速度可以，包装完整。用了几天后，机子运行流畅，驱动也完整，不用烦心。不过打大型游戏还是建议加个内存条和固态硬盘。
