p***g,2017-03-16 18:28:28,货今天也到   感觉很好  一开始没了解过微星电脑  到手后很喜欢  就是没什么赠送的东西   但总体上感觉还好
x***苏,2017-03-16 17:46:22,机子还不错，用的还可以
贺***i,2017-03-16 08:24:25,帮对象买的 图片上看着不好看 但是实物还是蛮好看的
亲***0,2017-03-15 14:29:27,好
蓝***梦,2017-03-14 14:39:07,性价比很高 可惜显存有点小 很多游戏不能开最高配玩 游戏性很强 自己加了固态还不错 散热很好 可惜了快递公司服务不行 两天物流到达目的地 当天没有派送 当天同到的固态当天就派送过来了 快件到的第二天下雨 快递员说下雨不送 快件到的第三天才送到手上 而且还是预计时间的当天 真准时 我不得不说
t***0,2017-03-14 09:13:35,好评，就是想买个电脑内包，市面上的装不下微星。
t***0,2017-03-14 06:22:34,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
g***8,2017-03-13 23:21:50,哈哈！女王节买的到今天才来评价，为什么呢？性能太棒了！到手把游戏立马装好！我主要为了战地1换的电脑  以前的垃圾i5+650m超频了还帧数低。现在流畅的飞起战绩瞬间上升了不少啊！
码***兽,2017-03-12 23:06:21,很好用的，自己加了固态硬盘快到飞起
q***8,2017-03-12 20:46:29,本本挺薄的（有好也有坏），薄的有种感觉打开A面都有可能会吧屏幕弄碎，配置高但是做工就不怎么样了，左右USB接口处用力捏的话会有咔咔声感觉扣不紧，硬盘使用50多次我也是醉了，屏幕也不怎么样，就这样吧，我主要是看上配置其他要求不高，凑合用，希望可以用久点
y***e,2017-03-12 19:09:40,总体来说还不错，各方面性能还可以，对的起这个价，打游戏超给力，美中不足的是噪音有些大，主要是硬盘发出的声音，想入手游戏笔记本的可以考虑下
v***1,2017-03-12 13:34:30,电脑拿到时没开封，是新机，打开后还是眼前一亮，做工绝对大厂品质，屏幕是高清的，相比前一个1366*768的15.6寸屏好的太多，眼睛舒服，鲁大师跑分9万多，办公轻松，打开CAD10很顺利，很喜欢，性价比很高，
n***0,2017-03-12 12:01:29,刚到，过几天再回复体验
陈***劳,2017-03-11 22:03:29,很好用，就是没加固态，不错的一次购物，快递很快
t***5,2017-03-11 10:16:29,好用
z***0,2017-03-10 16:12:49,还可以
罗***学,2017-03-10 14:06:27,性价比还不错
狂***7,2017-03-10 13:45:01,第一次买微星的笔记本 纠结了很久 结果倒是没有令我感到失望 系统略微有些卡顿 可能是没有装固态的原因 娱乐大师跑分感人 希望这种状态可以保持下去 也希望售后好一点 不要卖完东西就不认人 快递很给力 隔天就到了 总之还算是一次比较愉快的购物
t***1,2017-03-10 11:25:14,用起来，还可以，开机就是有点慢，刚开机的时候反应有点儿卡，但是对于这个价位够了
致***u,2017-03-10 10:47:50,昨天刚到，正试
p***g,2017-03-16 18:28:28,货今天也到   感觉很好  一开始没了解过微星电脑  到手后很喜欢  就是没什么赠送的东西   但总体上感觉还好
x***苏,2017-03-16 17:46:22,机子还不错，用的还可以
贺***i,2017-03-16 08:24:25,帮对象买的 图片上看着不好看 但是实物还是蛮好看的
亲***0,2017-03-15 14:29:27,好
蓝***梦,2017-03-14 14:39:07,性价比很高 可惜显存有点小 很多游戏不能开最高配玩 游戏性很强 自己加了固态还不错 散热很好 可惜了快递公司服务不行 两天物流到达目的地 当天没有派送 当天同到的固态当天就派送过来了 快件到的第二天下雨 快递员说下雨不送 快件到的第三天才送到手上 而且还是预计时间的当天 真准时 我不得不说
t***0,2017-03-14 09:13:35,好评，就是想买个电脑内包，市面上的装不下微星。
t***0,2017-03-14 06:22:34,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
g***8,2017-03-13 23:21:50,哈哈！女王节买的到今天才来评价，为什么呢？性能太棒了！到手把游戏立马装好！我主要为了战地1换的电脑  以前的垃圾i5+650m超频了还帧数低。现在流畅的飞起战绩瞬间上升了不少啊！
码***兽,2017-03-12 23:06:21,很好用的，自己加了固态硬盘快到飞起
q***8,2017-03-12 20:46:29,本本挺薄的（有好也有坏），薄的有种感觉打开A面都有可能会吧屏幕弄碎，配置高但是做工就不怎么样了，左右USB接口处用力捏的话会有咔咔声感觉扣不紧，硬盘使用50多次我也是醉了，屏幕也不怎么样，就这样吧，我主要是看上配置其他要求不高，凑合用，希望可以用久点
