祝***勇,2017-03-16 22:02:41,还可以哦，后续追评价&hellip;
r***9,2017-03-16 21:21:48,整体感觉还可以吧，本身用来办公的。想要个大尺寸的，实惠
x***培,2017-03-16 20:36:20,用了好几天才敢放心！真心好用！客户也很好！很礼貌！而且送货很快！卖家还送了礼品！电脑包！散热器！鼠标等等！证书也齐全！很好！
筱***一,2017-03-16 20:11:08,电脑很好用呦，对于学生党来说简直是超赞，制图软件都可以带的动，特地用了一周后评价，电脑简直棒棒哒！15.6寸的屏大气的没话说，大键盘超级爽。室友都后悔没有和我没一样的，特别高兴。刚刚开始的时候有点不会更新系统，客服特别耐心的帮忙解决，点32个赞给他。
t***8,2017-03-16 19:38:46,店家很好，第一次屏幕有问题很快退回了，用笔记本很好，对得起价格。值得购买，也送了很多小礼物很实用
浮***过,2017-03-16 19:31:44,笔记本这东西要在网上买需要承担巨大的风险和不确定性，当是买来后我也是各种检查，各种问客服！瑞雯客服不错！可以选择！
l***y,2017-03-16 16:58:38,好用   还可以的   普通价位中的佼佼者
h***g,2017-03-16 14:39:42,商品收到了，货还不错，家人喜欢。以后再追评
美***恩,2017-03-16 14:03:26,还没开始用，第一次开机的速度还是挺快的，之后开机的速度还是挺快的，就是运行的时候发出的声音挺大的，不知道是为什么，还有客服也没有教我怎么操作，不过可能也是因为我没有去问，毕竟客服也比较忙。电脑开机速度还是不错，但是运行速度稍微有点慢，可能是因为我网络不稳定，总得来说，还不错吧
l***静,2017-03-16 10:12:39,第一天中午买第二天中午就到了，物流速度很快，店家服务态度也挺好，很有耐心的解答一些问题，原来说好的送一个有线鼠标和一个无线鼠标，但收到货时只有无线鼠标，联系店家后也补发了！电脑还不错，运行也不卡，开机速度几秒钟！赞赞赞赞赞赞
曾***秦,2017-03-15 22:29:04,今天下午就到货了，物流非常快，实物是一样的，因为没拉网线就没试网，第一次网上买，客服也非常有耐心，不懂的他都跟我说了
f***9,2017-03-15 21:55:18,性价比很高，服务到位，装了一个180G的电子盘，启动关机速度几秒钟搞定。
风***城,2017-03-15 21:51:47,挺好的，我就是一电脑小白，不过客服态度很好，问题都一一解答了，电脑用了几天感觉还不错，挺喜欢的。特别是换上了爱豆的图片更棒了！！
我***1,2017-03-15 21:25:26,卡
t***5,2017-03-15 19:58:48,用了非常，还要用用看看，开机十分流畅，非常好用，以后还会来评价的
平***e,2017-03-15 19:40:05,非常不错，高清大屏，看着很舒服，打游戏还过得去，看电影也是大屏很爽，套餐送得可以，差不多可以给满分了，这个价格算伐得来了
h***3,2017-03-15 19:25:09,此用户没有填写评论!
i***达,2017-03-15 18:59:39,电脑电脑蛮好的啊！一直都很喜欢，联想的牌子，以前用啦！用了两三部联想的手机拍的电脑也是联想的，现在还是依旧买联想没有让我失望，并不是很重，蛮轻哒，然后不厚也不薄吧？总之这个价位是很划算的，我很喜欢。
w***9,2017-03-15 18:42:01,好评，物流也快，听说可以返30
2***吴,2017-03-15 18:01:01,特意用了几天，个人感觉很不错，物流很快，店家服务态度很好??
祝***勇,2017-03-16 22:02:41,还可以哦，后续追评价&hellip;
r***9,2017-03-16 21:21:48,整体感觉还可以吧，本身用来办公的。想要个大尺寸的，实惠
x***培,2017-03-16 20:36:20,用了好几天才敢放心！真心好用！客户也很好！很礼貌！而且送货很快！卖家还送了礼品！电脑包！散热器！鼠标等等！证书也齐全！很好！
筱***一,2017-03-16 20:11:08,电脑很好用呦，对于学生党来说简直是超赞，制图软件都可以带的动，特地用了一周后评价，电脑简直棒棒哒！15.6寸的屏大气的没话说，大键盘超级爽。室友都后悔没有和我没一样的，特别高兴。刚刚开始的时候有点不会更新系统，客服特别耐心的帮忙解决，点32个赞给他。
t***8,2017-03-16 19:38:46,店家很好，第一次屏幕有问题很快退回了，用笔记本很好，对得起价格。值得购买，也送了很多小礼物很实用
浮***过,2017-03-16 19:31:44,笔记本这东西要在网上买需要承担巨大的风险和不确定性，当是买来后我也是各种检查，各种问客服！瑞雯客服不错！可以选择！
l***y,2017-03-16 16:58:38,好用   还可以的   普通价位中的佼佼者
h***g,2017-03-16 14:39:42,商品收到了，货还不错，家人喜欢。以后再追评
美***恩,2017-03-16 14:03:26,还没开始用，第一次开机的速度还是挺快的，之后开机的速度还是挺快的，就是运行的时候发出的声音挺大的，不知道是为什么，还有客服也没有教我怎么操作，不过可能也是因为我没有去问，毕竟客服也比较忙。电脑开机速度还是不错，但是运行速度稍微有点慢，可能是因为我网络不稳定，总得来说，还不错吧
l***静,2017-03-16 10:12:39,第一天中午买第二天中午就到了，物流速度很快，店家服务态度也挺好，很有耐心的解答一些问题，原来说好的送一个有线鼠标和一个无线鼠标，但收到货时只有无线鼠标，联系店家后也补发了！电脑还不错，运行也不卡，开机速度几秒钟！赞赞赞赞赞赞
曾***秦,2017-03-15 22:29:04,今天下午就到货了，物流非常快，实物是一样的，因为没拉网线就没试网，第一次网上买，客服也非常有耐心，不懂的他都跟我说了
f***9,2017-03-15 21:55:18,性价比很高，服务到位，装了一个180G的电子盘，启动关机速度几秒钟搞定。
风***城,2017-03-15 21:51:47,挺好的，我就是一电脑小白，不过客服态度很好，问题都一一解答了，电脑用了几天感觉还不错，挺喜欢的。特别是换上了爱豆的图片更棒了！！
我***1,2017-03-15 21:25:26,卡
t***5,2017-03-15 19:58:48,用了非常，还要用用看看，开机十分流畅，非常好用，以后还会来评价的
平***e,2017-03-15 19:40:05,非常不错，高清大屏，看着很舒服，打游戏还过得去，看电影也是大屏很爽，套餐送得可以，差不多可以给满分了，这个价格算伐得来了
h***3,2017-03-15 19:25:09,此用户没有填写评论!
i***达,2017-03-15 18:59:39,电脑电脑蛮好的啊！一直都很喜欢，联想的牌子，以前用啦！用了两三部联想的手机拍的电脑也是联想的，现在还是依旧买联想没有让我失望，并不是很重，蛮轻哒，然后不厚也不薄吧？总之这个价位是很划算的，我很喜欢。
w***9,2017-03-15 18:42:01,好评，物流也快，听说可以返30
2***吴,2017-03-15 18:01:01,特意用了几天，个人感觉很不错，物流很快，店家服务态度很好??
张***3,2017-03-15 17:38:04,到货好几天了！用了几天才来评价。内存对于我来说挺大的！
爱***空,2017-03-15 16:40:54,第一次买电脑，宝贝总体还不错，快递也很快，是一次愉快的购买。
浙***笑,2017-03-15 16:15:46,整体电脑没太大问题，刚开机出现卡屏现象，客服耐心处理下
大***3,2017-03-15 16:03:03,电脑很给力，开机速度快。运行速递也不错
夏***薇,2017-03-15 15:56:31,开机速度挺快的，性能好。和图片一样的，而且比实体店的便宜好几百。
暗***花,2017-03-15 14:50:55,用起来还可以，但是鲁大师跑的分不高，第一次六万多，第二次八万多，客服的服务态度值得赞扬，但是电脑本身，我不懂所以不做过多评价，反正我想要的，都达到了?我给个好评
p***2,2017-03-15 13:20:44,好
d***e,2017-03-15 12:34:21,可以
恩***鞋,2017-03-15 11:53:31,一直喜欢联想的牌子。。让店家帮忙改装成了wins7系统的。。开机很快。。很喜欢。。
d***3,2017-03-15 11:00:16,是无语了，交代了几次转win7，又是没有帮我装
h***8,2017-03-15 10:07:34,看着高端大气，开机速度也比较快，有点小问题客服也及时帮我解决了，很愉快的一次网购，也改变了对网购笔记本的看法，推荐购买
若***象,2017-03-15 09:59:02,在这个价位还是可以的。性价比不错
