a***g,2017-03-16 21:59:08,跑分不是一般的低
旧***暖,2017-03-16 19:24:54,电脑收到了，虽然送了鼠标和鼠标垫，但是感觉还是有不足的地方。没有送点别的东西。机子感觉还不错，没有什么问题，就是买完东西之后客服就不理人了
弥***仔,2017-03-16 16:32:47,感觉还行就是玩LOL老是跳帧。
l***u,2017-03-16 16:30:55,开机比较慢，有固态硬盘跟没有固态硬盘有点差别。
刘***0,2017-03-16 15:08:31,确认晚了，东西不错呢，卖家人很好的！以后应该还会来⊙▽⊙
t***4,2017-03-16 08:45:13,货收到了，感觉还不错，反应很快
l***之,2017-03-15 23:35:54,很不错！！！！
g***r,2017-03-15 23:16:10,不错的
是***年,2017-03-15 17:38:52,蛮不错的  就是外观差点  性能还行，下了一下午的h1z1还没下好 网太差了，具体的等着追评吧
云***国,2017-03-15 13:12:55,还可以吧玩游戏不卡。。挂着qq玩lol也很流畅。。屏幕清新！。就是客服有点不太理人。不知道忙还是怎么说
云***丶,2017-03-15 12:40:42,电脑很不错，玩毒奶粉和守望先锋都很顺畅，挺满意的，果断来个好评！
w***i,2017-03-15 11:22:23,给侄子买的，用过一段时间再来评价，没有发现什么问题，先给好评吧
a***5,2017-03-15 10:31:00,跑分在八万多，开机居然一分多钟，不知道为什么，过段时间加个固态再试试看
爱***而,2017-03-15 09:08:50,物流有问题。但是也不能怪卖家。卖家也很耐心的帮我解决问题还是蛮不错的
崔***周,2017-03-15 07:35:14,很好用，就是开机的时候会卡个十几秒，其他都还好。
爱***爱,2017-03-15 07:12:53,电脑还可以。用着不卡。
杨***行,2017-03-15 02:01:40,电脑很好，不卡，玩游戏没问题
南***梦,2017-03-14 12:01:12,登船成功，外观就不发表太多评论了，反正我觉得挺好看的。买来是玩游戏的，之前用台式玩了两年多的剑网三，都说笔记本玩游戏会卡，但是现在发现笔记本玩游戏也是蛮强大的，就是键盘一开始还有些不适应，应该习惯了就好了。感谢客服华仔源源，遇到问题都完美替我解决了，有朋友要买电脑，会推荐来这里！
冷***焱,2017-03-14 10:46:32,用了几天后来评价！整体来说还不错，外观大气，散热也可以。不过屏幕分辨率不是很清晰，开机后有杂音，玩虐杀原形的时候有些卡顿，电池容量有点小，看不到一个小时就要没电了，电脑自带win10系统，没加固态硬盘，开机55秒！很贴心的送了鼠标，鼠标垫，和单肩包！客服人员的服务态度不错！性价比很高！
3***l,2017-03-14 09:55:49,发货速度超慢，电脑质量也很差 总之差评
a***g,2017-03-16 21:59:08,跑分不是一般的低
旧***暖,2017-03-16 19:24:54,电脑收到了，虽然送了鼠标和鼠标垫，但是感觉还是有不足的地方。没有送点别的东西。机子感觉还不错，没有什么问题，就是买完东西之后客服就不理人了
弥***仔,2017-03-16 16:32:47,感觉还行就是玩LOL老是跳帧。
l***u,2017-03-16 16:30:55,开机比较慢，有固态硬盘跟没有固态硬盘有点差别。
刘***0,2017-03-16 15:08:31,确认晚了，东西不错呢，卖家人很好的！以后应该还会来⊙▽⊙
t***4,2017-03-16 08:45:13,货收到了，感觉还不错，反应很快
l***之,2017-03-15 23:35:54,很不错！！！！
g***r,2017-03-15 23:16:10,不错的
是***年,2017-03-15 17:38:52,蛮不错的  就是外观差点  性能还行，下了一下午的h1z1还没下好 网太差了，具体的等着追评吧
云***国,2017-03-15 13:12:55,还可以吧玩游戏不卡。。挂着qq玩lol也很流畅。。屏幕清新！。就是客服有点不太理人。不知道忙还是怎么说
云***丶,2017-03-15 12:40:42,电脑很不错，玩毒奶粉和守望先锋都很顺畅，挺满意的，果断来个好评！
w***i,2017-03-15 11:22:23,给侄子买的，用过一段时间再来评价，没有发现什么问题，先给好评吧
a***5,2017-03-15 10:31:00,跑分在八万多，开机居然一分多钟，不知道为什么，过段时间加个固态再试试看
爱***而,2017-03-15 09:08:50,物流有问题。但是也不能怪卖家。卖家也很耐心的帮我解决问题还是蛮不错的
崔***周,2017-03-15 07:35:14,很好用，就是开机的时候会卡个十几秒，其他都还好。
爱***爱,2017-03-15 07:12:53,电脑还可以。用着不卡。
杨***行,2017-03-15 02:01:40,电脑很好，不卡，玩游戏没问题
南***梦,2017-03-14 12:01:12,登船成功，外观就不发表太多评论了，反正我觉得挺好看的。买来是玩游戏的，之前用台式玩了两年多的剑网三，都说笔记本玩游戏会卡，但是现在发现笔记本玩游戏也是蛮强大的，就是键盘一开始还有些不适应，应该习惯了就好了。感谢客服华仔源源，遇到问题都完美替我解决了，有朋友要买电脑，会推荐来这里！
冷***焱,2017-03-14 10:46:32,用了几天后来评价！整体来说还不错，外观大气，散热也可以。不过屏幕分辨率不是很清晰，开机后有杂音，玩虐杀原形的时候有些卡顿，电池容量有点小，看不到一个小时就要没电了，电脑自带win10系统，没加固态硬盘，开机55秒！很贴心的送了鼠标，鼠标垫，和单肩包！客服人员的服务态度不错！性价比很高！
3***l,2017-03-14 09:55:49,发货速度超慢，电脑质量也很差 总之差评
t***1,2017-03-13 22:30:45,还是不错的  客服服务态度也不错  还给我提供了不少自己需要的  谢谢
心***海,2017-03-13 22:06:29,第一：電腦?是正版的，所描述都基本符合；第二：包裝是我觉得比較好的，而且与一般店家的不同之處；第三：物流很快而且賣家服務態度很好，是我見那麼多家比較喜歡的。
a***丿,2017-03-13 19:35:50,电脑非常好杀机守望完美运行英雄联盟什么的跟不用说了稳定150fps喜欢的可以考虑上船成功！
大***h,2017-03-13 15:17:26,首先包装很好，看得出店家很用心；其次电脑开机很快，大屏看着也很爽；然后个别键盘有点卡顿，电脑偶尔也会卡，不过卡的时间不超过一分钟，很快就好；最后我没有下载什么游戏，就装了一个ps还有几个视频软件和浏览器，用起来还是挺流畅的。对得起这个价位，五星好评！
t***8,2017-03-12 20:13:30,电脑小白，感觉还可以，送了鼠标和鼠标垫，电脑包，总体来说挺愉快的一次购物，还没有玩过什么大型游戏，不过就是有点慢，
辉***篮,2017-03-12 20:04:34,还可以吧 快递挺快
t***1,2017-03-12 18:16:56,差评，没什么好说的，玩个英雄联盟卡的一顿一顿的，说什么流畅，都是骗人的。差差差，就是坑人的店。
t***2,2017-03-12 11:25:17,用着还行
a***6,2017-03-12 07:34:32,还不错，玩魔兽挺流畅的。
千***鸟,2017-03-12 01:42:47,很不错
华***沫,2017-03-11 22:21:50,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
雨***亭,2017-03-11 21:47:47,<b></b>此<b></b>用<b></b>户<b></b>没<b></b>有<b></b>填<b></b>写<b></b>评<b></b>论<b></b>!<b></b>
白***7,2017-03-11 21:30:04,收到包装很完整，鲁大师10万分 好
s***i,2017-03-11 19:00:02,电脑收到了，目前在朋友那，说是不错，等回去测试玩以后再追评，不过客服很不错，可以跟客服卖萌的，哈哈，物流也很快
黄***才,2017-03-11 16:35:21,性价比高。
奇***道,2017-03-11 15:31:54,LOL最高特效fps80多
依***i,2017-03-11 12:23:55,一拿到测不出硬盘，客服让我下载鲁大师来测，我就安装在了C盘还下载了360都装在C盘，还测不出来客服才让我自己拆开看看是不是硬盘松了（我一个电脑白chi刚买到电脑就拆开 说实话有点心疼），后来发现是松了 我就插好。我想说的是 我是因为客服跟我说硬盘应该只是测不出来我才不小心把360装在了C盘然后就删不掉了，更好笑的是我居然把360原件放在了桌面就删不掉也移动不了位置（获取不了那个管理员权限），本来我想的是换货或者退货。提醒各位 既然买了打开过退货就是不可能的了 换货自己就要出来回的一百多块邮费
小***m,2017-03-11 10:22:41,用了几天，运行速度有点慢，总体还不错，挺好的！
s***6,2017-03-11 00:38:58,不知道以后会不会出现问题还是有点比较担心。
y***2,2017-03-10 18:07:40,此用户没有填写评论!
q***谭,2017-03-10 17:11:53,包装很好，电脑是正品，运行很快，物美价廉，非常满意，
青***友,2017-03-10 13:58:27,开机速度还行  运行速度有点慢
丶***4,2017-03-10 13:50:35,电脑应该还可以吧？只能说应该，毕竟我只试了下DNF，可以玩，不卡。就是感觉电脑有点空空的，总感觉少点什么东西
t***0,2017-03-10 13:16:48,好卡，以为是刚用才会这么卡，但是用了一两个星期了，还是好卡
没***x,2017-03-10 00:02:30,好评好评，还送了个电脑包
t***1,2017-03-09 18:53:24,还不错，刚收到，具体使用后在评论。包装挺好的
陈***4,2017-03-09 18:20:49,服务态度不咋的，机子屏幕效果不理想
你***我,2017-03-09 15:08:28,电脑感觉挺不错今天打联盟试试，FPS基本在110左右而且发热也感觉没那么严重，温温的，从广州到山东用了两天挺快的，电脑的运行速度不错，让店家预装了win7用的挺习惯，开始竟然蓝屏了重启下就好了，送的小音箱感觉很不错挺嗨的，比我想象的满意，键盘不是送的，送的电脑包是15寸华硕的醉了
m***4,2017-03-09 13:49:07,特意用了几天才来评价的，首先机器配置性价比还可以，然后发的也是顺丰快递，但是售后不怎么利索，电脑给发过来的时候漏发了发票和单肩包，然后找客服说补发，结果拖了几天都没发货，还是一再催促才发货的，总之机器不错，售后不行，，，
就***静,2017-03-09 13:08:51,66666666666666666666666666
h***9,2017-03-09 07:02:33,加了固态开机17秒，虽说有点慢，但这个价钱买的，还算不错。
乱***玉,2017-03-08 14:52:59,还可以，自己重装了系统
w***4,2017-03-08 12:27:18,这个价钱能跑的这个分数很值了 唯一不好的是 我要键盘膜 给我一个屏幕贴
w***n,2017-03-08 12:22:15,亲测很不错的，打LOL 全特效平时两百多帧，打团一百多。其他单机游戏也都还行，正在一步一步测试，这个价位真的很不错！
林***3,2017-03-08 11:32:42,加了条内存条，拿回来，开机还是1分23秒，买回来一个多星期了，性能是不错，但是开机太慢，不知道是不是硬盘问题，早知道另外加固态看看了，发货比较满，其他方面还好
