t***2,2017-03-16 23:05:17,性能一般，有点卡
猪***仙,2017-03-16 19:29:45,好，就是没有金色的小小失落，还有win10用着不太习惯
海***1,2017-03-16 18:06:49,挺好的，开机5秒，触摸板好用，颜值高，薄
王***海,2017-03-16 18:02:53,挺好看，就是电池不经用
吴***x,2017-03-16 16:54:39,这电脑确实可以，做工，外观都给99分，性价比确实高，和之前买的苹果笔记本本有得一比，这个价确实很实在！
w***君,2017-03-16 16:31:28,东西还可以就是客服不咋的。用一段时间再来评价
1***白,2017-03-16 16:22:55,电脑看起来不错  不知道用一段时间会怎样   后期会追加评价
b***0,2017-03-16 15:25:04,电脑是我喜欢的，12.5比9.7吋平板电脑大多了，很适合商务出差携带。
w***2,2017-03-16 15:05:42,可以，就是系统不太喜欢
3***定,2017-03-16 14:30:24,还不错，容易操作
梁***8,2017-03-16 12:51:05,我也是醉了，淘宝客服问了几天回复一句再也没有第二句，买回来第三天就有问题，我在马来西亚已经联系了，回国后电话都不回访，什么破玩意，连接鼠标后电脑屏幕就不灵活联系了足足一周哎妈呀，这个客服我真的是第一次遇到，我真的无语了，哎，下手慎重！
陶***庄,2017-03-16 10:58:44,美薄轻便，颜值美啊，用了几天，待机时间还真可以，随便8小时以上不成问题。很好，没有让我失望。
何***0,2017-03-15 20:24:54,装着挺好看的
h***4,2017-03-15 18:21:15,老公说还不错！
夜***2,2017-03-15 18:06:35,笔记本太美了，目前没有发现问题，非常满意。
t***2,2017-03-15 17:41:36,电脑看着还可以，就是不知道性能怎么样，还要自己下驱动那些，好麻烦！
萌***a,2017-03-15 10:37:57,感觉很不错，特别轻薄，颜色也特别喜欢，会推荐身边的朋友买的
郭***1,2017-03-14 22:28:56,帮忙买给朋友的   朋友说很不错   下次还会再来
累***何,2017-03-14 21:38:36,喜欢高清屏    12.5寸好迷你   用着还不错   第一天用
x***5,2017-03-14 18:59:36,买小米本之前，看了很多轻薄本。有一款联想的，配制跟小米一样，但外观做工不如小米，直接买小米了。上手后很精致
t***2,2017-03-16 23:05:17,性能一般，有点卡
猪***仙,2017-03-16 19:29:45,好，就是没有金色的小小失落，还有win10用着不太习惯
海***1,2017-03-16 18:06:49,挺好的，开机5秒，触摸板好用，颜值高，薄
王***海,2017-03-16 18:02:53,挺好看，就是电池不经用
吴***x,2017-03-16 16:54:39,这电脑确实可以，做工，外观都给99分，性价比确实高，和之前买的苹果笔记本本有得一比，这个价确实很实在！
w***君,2017-03-16 16:31:28,东西还可以就是客服不咋的。用一段时间再来评价
1***白,2017-03-16 16:22:55,电脑看起来不错  不知道用一段时间会怎样   后期会追加评价
b***0,2017-03-16 15:25:04,电脑是我喜欢的，12.5比9.7吋平板电脑大多了，很适合商务出差携带。
w***2,2017-03-16 15:05:42,可以，就是系统不太喜欢
3***定,2017-03-16 14:30:24,还不错，容易操作
梁***8,2017-03-16 12:51:05,我也是醉了，淘宝客服问了几天回复一句再也没有第二句，买回来第三天就有问题，我在马来西亚已经联系了，回国后电话都不回访，什么破玩意，连接鼠标后电脑屏幕就不灵活联系了足足一周哎妈呀，这个客服我真的是第一次遇到，我真的无语了，哎，下手慎重！
陶***庄,2017-03-16 10:58:44,美薄轻便，颜值美啊，用了几天，待机时间还真可以，随便8小时以上不成问题。很好，没有让我失望。
何***0,2017-03-15 20:24:54,装着挺好看的
h***4,2017-03-15 18:21:15,老公说还不错！
夜***2,2017-03-15 18:06:35,笔记本太美了，目前没有发现问题，非常满意。
t***2,2017-03-15 17:41:36,电脑看着还可以，就是不知道性能怎么样，还要自己下驱动那些，好麻烦！
萌***a,2017-03-15 10:37:57,感觉很不错，特别轻薄，颜色也特别喜欢，会推荐身边的朋友买的
郭***1,2017-03-14 22:28:56,帮忙买给朋友的   朋友说很不错   下次还会再来
累***何,2017-03-14 21:38:36,喜欢高清屏    12.5寸好迷你   用着还不错   第一天用
x***5,2017-03-14 18:59:36,买小米本之前，看了很多轻薄本。有一款联想的，配制跟小米一样，但外观做工不如小米，直接买小米了。上手后很精致
l***0,2017-03-14 17:53:20,收到感觉还不错，具体情况等用几天看吧。
c***4,2017-03-14 17:05:39,颜值高 挺喜欢的
j***8,2017-03-14 14:53:26,外观很喜欢，很小巧。
贝***青,2017-03-14 12:46:54,怎么说呢，像我一样喜欢漂亮东西的，不缺3000块钱的，就买个摆设吧！对了，还要脾气好，有耐心。个中滋味，谁买谁知道
慧***6,2017-03-14 09:42:56,开机很快，机身很薄很小巧精致，天气不热，机身也不热，不卡办公聊天看电影很好，玩游戏久不知道了，不玩游戏
程***九,2017-03-14 03:39:34,小，非常小。三千多有点不值得。建议买其他品牌。这个配置感觉不太好。同价位的配置高多了。不信可以试试。
鱼***1,2017-03-13 21:30:25,挺好的???
