默***殇,2017-03-16 23:27:55,第一次网上买电脑，一开始还是不放心，但是经过多次了解之后，以及多次向客服妹子询问之后，还是下了决心买了这台麦本本。DDR4 4G内存，128固态硬盘，950的显卡搭配高清屏价格3899还是挺良心价的，对比现在手里的华硕，虽然是一样的价但是性能方面还是有很大的差别。所以，店家的服务还是能让人放心的。
a***魔,2017-03-16 19:37:15,电脑挺好，屏挺大，我买这台电脑看的是4G的显卡，(玩游戏)，然后加装了8G内存，500G硬盘，和128的固态，别的游戏不说，英雄联盟120-140的fps,开全特效都没问题。买来开始还有些字体模糊啊！屏太亮，驱动问题，都在客服指点下弄好了。还有个最满意的是，散热好。平时风扇里吹出来的都是冷风。主要是性价比高，虽然牌子可能没hp,联想，华为这些有名气，但是性价比真的没得说。打了好多字，好累。。。就这么多
舞***魂,2017-03-16 17:19:07,货收到了，跟描述的一样。这己经是我买的第四个了，给朋友舍友都买过，电脑质量很好，开机速度很快，显卡很好。玩游戏，画图等非常流畅。快递速度也很快，服务态度不错。
l***9,2017-03-16 14:57:46,我是个麦粉，这是我买的第3台电脑了。玩游戏，看视频都不卡，性价比特别高！开机只要6秒钟！
三***7,2017-03-16 13:43:34,看起来还可以，先用来吧
瞢***董,2017-03-16 13:11:57,宝贝收到了，非常的棒，一次点亮没毛病，贴的膜也非常用心，够骚气，快递给力，老板送的鼠标一开始以为不好用，打开之后特意送了个游戏鼠标，手感杠杠滴，电脑使用起来如丝般顺划，总之很好用，免除了买之前的担忧，下次介绍更多朋友来买！
青***爪,2017-03-16 11:14:00,第一次买的时候有线网卡不能用 后来寄过去给换新了 现在这个用的不错，基本上没问题 玩撸啊撸 穿越火线没问题的客服服务真的不错，晚上下班了还在给我解答 非常感谢客服麦丁
n***i,2017-03-15 16:34:11,电脑很不错帮室友买的 就是有点卡
j***2,2017-03-15 13:15:00,机子不错哦，加了固态硬盘，开机速度蛮快的，鲁大师跑分有11万多分，15.6的屏幕，很大，看起来很舒服，客服也挺有耐心的，问了蛮多问题，都一个个回答了。
为***0,2017-03-15 09:45:42,麦本本虽然是后起之秀，但性价比高。本来选了个华硕超薄笔记本，但是华硕的性价比不高。所以还是选择了麦本本。在配置方面，这款笔记本还是挺不错。可能后期我还加一个机械硬盘吧！我买的这款内存不太够，所以必须加个机械硬盘。
